model,precision,dataset,task,score,size_mb,n_samples
layoutlmv3_teacher,int8,FUNSD,SER,0.8982,126.5,50
layoutlmv3_teacher,int8,SROIE,SER,0.9711,126.5,329
layoutlmv3_teacher,int8,DocVQA,VQA,0.5911,126.5,3921
layoutlmv3_teacher,int8,InfographicsVQA,VQA,0.284,126.5,1175
layoutlmv3_teacher,int8,WikiTableQuestions,VQA,0.2665,126.5,3088
layoutlmv3_teacher,fp32,FUNSD,SER,0.8987,478.2,50
layoutlmv3_teacher,fp32,SROIE,SER,0.9747,478.2,329
layoutlmv3_teacher,fp32,DocVQA,VQA,0.6315,478.2,3921
layoutlmv3_teacher,fp32,InfographicsVQA,VQA,0.3202,478.2,1175
layoutlmv3_teacher,fp32,WikiTableQuestions,VQA,0.319,478.2,3088
layoutlmv3_student_4L,fp32,FUNSD,SER,0.8266,261.8,50
layoutlmv3_student_4L,fp32,SROIE,SER,0.9669,261.8,329
layoutlmv3_student_4L,fp32,DocVQA,VQA,0.5492,261.8,3921
layoutlmv3_student_4L,fp32,InfographicsVQA,VQA,0.2623,261.8,1175
layoutlmv3_student_4L,fp32,WikiTableQuestions,VQA,0.2587,261.8,3088
layoutlmv3_student_4L,int8,FUNSD,SER,0.8317,71.2,50
layoutlmv3_student_4L,int8,SROIE,SER,0.9667,71.2,329
layoutlmv3_student_4L,int8,DocVQA,VQA,0.5295,71.2,3921
layoutlmv3_student_4L,int8,InfographicsVQA,VQA,0.2476,71.2,1175
layoutlmv3_student_4L,int8,WikiTableQuestions,VQA,0.2312,71.2,3088
lilt_teacher,fp32,FUNSD,SER,0.8587,499.0,50
lilt_teacher,fp32,SROIE,SER,0.9749,499.0,329
lilt_teacher,fp32,DocVQA,VQA,0.6145,499.0,3921
lilt_teacher,fp32,InfographicsVQA,VQA,0.3379,499.0,1175
lilt_teacher,fp32,WikiTableQuestions,VQA,0.3329,499.0,3088
lilt_teacher,int8,FUNSD,SER,0.8214,132.5,50
lilt_teacher,int8,SROIE,SER,0.9651,132.5,329
lilt_teacher,int8,DocVQA,VQA,0.5868,132.5,3921
lilt_teacher,int8,InfographicsVQA,VQA,0.2863,132.5,1175
lilt_teacher,int8,WikiTableQuestions,VQA,0.2704,132.5,3088
lilt_student_4L,int8,FUNSD,SER,0.8326,73.4,50
lilt_student_4L,int8,SROIE,SER,0.9675,73.4,329
lilt_student_4L,int8,DocVQA,VQA,0.5445,73.4,3921
lilt_student_4L,int8,InfographicsVQA,VQA,0.2362,73.4,1175
lilt_student_4L,int8,WikiTableQuestions,VQA,0.227,73.4,3088
lilt_student_4L,fp32,FUNSD,SER,0.8392,269.0,50
lilt_student_4L,fp32,SROIE,SER,0.9705,269.0,329
lilt_student_4L,fp32,DocVQA,VQA,0.56,269.0,3921
lilt_student_4L,fp32,InfographicsVQA,VQA,0.2585,269.0,1175
lilt_student_4L,fp32,WikiTableQuestions,VQA,0.2393,269.0,3088
